MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Lot Config,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Sale Type,Sale Condition,SalePrice
85,RM,86,5160,Reg,Inside,1Fam,SFoyer,4,6,1923,Hip,MetalSd,0,TA,Gd,PConc,Gd,Fa,Av,BLQ,749,Rec,63,46,858,TA,Y,892,0,0,892,1,0,1,0,1,1,Gd,5,Min2,NA,NA,0,0,NA,N,0,0,105,0,160,0,NA,COD,Abnorml,70000
190,RM,60,10320,Reg,Inside,2fmCon,2Story,6,7,1915,Gable,MetalSd,0,TA,Gd,CBlock,TA,TA,No,Rec,276,ALQ,262,160,698,Ex,Y,754,649,0,1403,1,0,1,1,3,1,TA,7,Typ,NA,Unf,1,308,TA,Y,0,0,288,0,0,0,NA,WD ,Normal,116000
20,RL,50,4280,IR1,Inside,1Fam,1Story,4,9,1946,Gable,MetalSd,0,TA,Gd,CBlock,Fa,TA,No,Unf,0,Unf,0,560,560,Ex,Y,704,0,0,704,0,1,1,0,2,1,Fa,4,Typ,NA,Unf,1,220,TA,Y,0,0,24,0,0,0,NA,WD ,Normal,88750
90,RL,60,10800,Reg,Inside,Duplex,1Story,5,5,1987,Gable,Plywood,0,TA,TA,CBlock,Gd,Gd,Gd,GLQ,1200,Unf,0,0,1200,TA,Y,1200,0,0,1200,3,0,3,0,3,1,TA,5,Typ,NA,NA,0,0,NA,Y,120,0,0,0,0,0,NA,WD ,Alloca,179000
90,RL,60,10800,Reg,Inside,Duplex,1Story,5,5,1987,Gable,Plywood,0,TA,Gd,CBlock,Gd,Gd,Gd,GLQ,1200,Unf,0,0,1200,TA,Y,1200,0,0,1200,3,0,3,0,3,1,TA,5,Typ,NA,NA,0,0,NA,Y,120,0,0,0,0,0,NA,WD ,Alloca,179000
90,RL,0,10547,IR1,Inside,Duplex,SFoyer,5,5,1978,Gable,Plywood,0,TA,TA,PConc,Gd,Gd,Gd,GLQ,1152,Unf,0,0,1152,TA,Y,1152,0,0,1152,2,0,2,0,2,2,TA,6,Typ,NA,Unf,1,252,TA,N,0,0,0,0,0,0,NA,WD ,Normal,159900
30,RL,0,10020,IR1,Inside,1Fam,1Story,1,1,1922,Gable,Wd Sdng,0,Fa,Fa,BrkTil,Fa,Po,Gd,BLQ,350,Unf,0,333,683,Gd,N,904,0,0,904,1,0,0,1,1,1,Fa,4,Maj1,NA,NA,0,0,NA,Y,0,0,0,0,0,0,NA,WD ,Normal,61000
70,RH,54,6629,Reg,Inside,1Fam,2Story,6,6,1925,Gambrel,Wd Sdng,0,TA,Gd,BrkTil,TA,TA,No,BLQ,551,Unf,0,121,672,TA,N,697,672,0,1369,1,0,2,0,3,1,TA,6,Typ,NA,Unf,1,300,TA,Y,147,0,0,0,0,0,NA,WD ,Normal,103600
50,RL,60,9780,Reg,Inside,1Fam,1.5Fin,5,3,1934,Gable,MetalSd,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,585,585,TA,N,687,425,0,1112,1,0,2,0,4,1,TA,6,Typ,NA,Unf,1,226,Po,N,0,0,0,0,0,0,NA,WD ,Normal,63000
80,RL,70,12886,IR1,Inside,1Fam,SLvl,5,6,1963,Gable,HdBoard,0,TA,TA,CBlock,Gd,TA,Av,ALQ,444,Unf,0,76,520,Ex,Y,1464,0,0,1464,0,1,2,0,3,1,TA,6,Min2,TA,RFn,2,480,TA,Y,302,0,0,0,100,0,NA,WD ,Normal,175000
20,RL,80,8816,Reg,Corner,1Fam,1Story,5,6,1963,Gable,VinylSd,0,TA,TA,PConc,TA,TA,No,Rec,651,Unf,0,470,1121,TA,Y,1121,0,0,1121,1,0,1,0,3,1,TA,5,Typ,NA,Unf,2,480,TA,Y,0,80,0,0,0,0,MnPrv,WD ,Normal,139000
60,RL,70,11184,Reg,Inside,1Fam,2Story,6,5,1978,Hip,HdBoard,92,TA,TA,CBlock,TA,TA,No,LwQ,226,Rec,500,192,918,Gd,Y,918,765,0,1683,0,0,2,1,3,1,TA,7,Typ,TA,RFn,2,440,TA,Y,243,0,0,0,0,0,NA,WD ,Normal,172500
20,RL,75,11625,Reg,Inside,1Fam,1Story,5,6,1967,Hip,HdBoard,172,TA,TA,CBlock,TA,TA,No,BLQ,527,Unf,0,525,1052,TA,Y,1052,0,0,1052,0,0,1,1,3,1,TA,6,Typ,Po,Fin,1,668,TA,Y,0,215,0,0,0,0,NA,WD ,Abnorml,113500
20,RL,65,7800,Reg,Inside,1Fam,1Story,5,7,1967,Hip,HdBoard,89,TA,TA,PConc,TA,TA,No,ALQ,450,Unf,0,414,864,Ex,Y,899,0,0,899,0,0,1,0,3,1,Gd,5,Typ,NA,Fin,1,288,TA,Y,64,0,0,0,0,0,MnPrv,WD ,Normal,130000
85,RL,0,8014,IR1,CulDSac,1Fam,SFoyer,6,5,1978,Gable,Plywood,23,TA,TA,CBlock,Gd,TA,Gd,GLQ,456,Unf,0,0,456,TA,Y,1034,0,0,1034,0,1,1,0,3,1,TA,5,Typ,Fa,Fin,2,504,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,149900
85,RL,0,7252,IR1,CulDSac,1Fam,SFoyer,5,5,1982,Hip,Wd Sdng,0,TA,TA,CBlock,Gd,TA,Av,GLQ,685,Unf,0,173,858,TA,Y,858,0,0,858,1,0,1,0,2,1,TA,5,Typ,NA,Unf,2,576,TA,Y,120,0,0,0,0,0,NA,WD ,Normal,134900
85,RL,74,8740,IR1,Inside,1Fam,SFoyer,5,6,1982,Hip,HdBoard,0,TA,TA,CBlock,TA,TA,Av,ALQ,672,Unf,0,168,840,TA,Y,860,0,0,860,1,0,1,0,2,1,TA,4,Typ,NA,Unf,2,528,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,137000
20,RL,0,11616,Reg,Inside,1Fam,1Story,5,5,1962,Gable,Wd Sdng,116,TA,TA,CBlock,TA,TA,No,LwQ,170,BLQ,670,252,1092,TA,Y,1092,0,0,1092,0,1,1,0,3,1,TA,6,Typ,Po,Unf,1,288,TA,Y,0,20,144,0,0,0,NA,WD ,Normal,139000
80,RL,88,15400,Reg,Inside,1Fam,SLvl,5,5,1961,Hip,HdBoard,0,TA,TA,CBlock,TA,Gd,No,Unf,0,Unf,0,552,552,TA,Y,904,611,259,1774,0,0,2,0,4,1,TA,8,Typ,TA,Unf,1,384,TA,Y,290,40,0,0,0,0,NA,WD ,Normal,165000
80,RL,88,15312,Reg,Inside,1Fam,SLvl,6,5,1960,Hip,Wd Sdng,54,TA,TA,CBlock,TA,TA,Av,BLQ,588,Unf,0,550,1138,Ex,Y,1138,0,0,1138,0,1,1,0,3,1,TA,6,Typ,TA,RFn,2,480,TA,Y,0,0,0,0,140,0,MnPrv,COD,Normal,148000
80,RL,0,15584,Reg,Inside,1Fam,SLvl,5,5,1956,Hip,Wd Sdng,366,TA,TA,CBlock,TA,TA,Mn,Unf,0,Unf,0,825,825,Ex,Y,2071,0,0,2071,0,1,1,1,4,1,TA,9,Typ,TA,Unf,1,336,TA,Y,131,28,0,0,0,0,NA,WD ,Normal,165000
20,RL,0,9000,Reg,Corner,1Fam,1Story,2,2,1947,Gable,Wd Sdng,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Fa,N,660,0,0,660,0,0,1,0,2,1,Fa,5,Min2,NA,NA,0,0,NA,N,0,0,100,0,0,0,NA,WD ,Normal,63900
50,RL,0,11250,Reg,Inside,1Fam,1.5Fin,4,5,1957,Gable,Wd Sdng,0,TA,TA,CBlock,TA,TA,Av,Unf,0,Unf,0,1104,1104,Ex,Y,1104,684,0,1788,1,0,1,0,5,1,TA,8,Min2,TA,Unf,1,304,TA,Y,120,0,0,0,0,0,NA,WD ,Normal,161500
20,RL,65,25095,IR1,Inside,1Fam,1Story,5,8,1968,Flat,Wd Sdng,0,TA,TA,CBlock,TA,TA,Gd,GLQ,1324,Unf,0,113,1437,Ex,Y,1473,0,0,1473,2,0,1,0,1,1,Ex,5,Typ,Gd,Unf,1,452,TA,Y,0,48,0,0,60,0,NA,WD ,Partial,143000
20,RL,0,17140,Reg,Inside,1Fam,1Story,4,6,1956,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,ALQ,1059,Unf,0,75,1134,Ex,Y,1229,0,0,1229,0,0,1,0,3,1,TA,6,Typ,NA,RFn,1,284,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,135000
30,RL,0,12342,IR1,Inside,1Fam,1Story,4,5,1940,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Ex,Y,861,0,0,861,0,0,1,0,1,1,TA,4,Typ,NA,Unf,2,539,TA,Y,158,0,0,0,0,0,NA,WD ,Normal,82500
20,RL,0,10708,IR1,Inside,1Fam,1Story,5,5,1955,Hip,Wd Sdng,0,Gd,TA,CBlock,TA,TA,No,LwQ,379,BLQ,768,470,1617,Ex,Y,1867,0,0,1867,1,0,1,0,2,1,TA,7,Typ,Gd,Fin,1,303,TA,Y,476,0,0,0,142,0,GdWo,COD,Normal,190000
20,RL,0,13680,IR1,CulDSac,1Fam,1Story,3,5,1955,Hip,BrkFace,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,Ex,Y,1733,0,0,1733,0,0,2,0,4,1,TA,8,Min2,Gd,Unf,2,452,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,139600
20,RL,0,15635,IR1,CulDSac,1Fam,1Story,4,5,1954,Gable,VinylSd,0,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1383,0,0,1383,0,0,1,0,2,1,TA,6,Mod,NA,Unf,2,498,Fa,Y,0,0,90,0,110,0,NA,WD ,Normal,122000
20,RL,73,9855,Reg,Corner,1Fam,1Story,6,5,1956,Hip,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1436,1436,Fa,Y,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,Gd,Unf,2,480,TA,Y,0,0,0,0,0,0,MnPrv,COD,Normal,127500
20,RL,68,9571,Reg,Inside,1Fam,1Story,5,5,1956,Hip,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,257,Unf,0,816,1073,TA,Y,1073,0,0,1073,1,0,1,0,2,1,TA,5,Typ,NA,Unf,1,340,TA,Y,0,0,0,0,0,0,GdPrv,WD ,Normal,121500
20,RL,68,9571,Reg,Inside,1Fam,1Story,5,3,1958,Gable,BrkComm,0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,0,1276,1276,TA,Y,1276,0,0,1276,0,0,1,0,3,1,TA,5,Mod,NA,Unf,1,350,TA,Y,0,0,0,0,0,0,NA,COD,Abnorml,60000
60,RL,50,9350,Reg,Inside,1Fam,2Story,6,7,1946,Hip,MetalSd,0,TA,TA,CBlock,TA,TA,No,BLQ,342,Unf,0,405,747,Ex,Y,892,747,0,1639,0,0,1,1,3,1,Gd,6,Typ,Gd,Unf,1,240,TA,Y,0,50,0,0,0,0,NA,WD ,Normal,154400
30,RL,50,9340,Reg,Inside,1Fam,1Story,4,6,1941,Hip,MetalSd,0,TA,TA,CBlock,TA,TA,No,Rec,344,Unf,0,328,672,TA,Y,672,0,0,672,1,0,1,0,2,1,TA,4,Typ,NA,Unf,1,234,TA,N,0,113,0,0,0,0,NA,WD ,Normal,113000
20,RL,62,7440,Reg,Inside,1Fam,1Story,5,6,1954,Gable,Wd Sdng,0,TA,TA,CBlock,Gd,TA,No,BLQ,173,Unf,0,916,1089,TA,Y,1089,0,0,1089,1,0,1,0,3,1,TA,5,Typ,Gd,RFn,1,252,TA,P,328,0,0,0,0,0,MnPrv,WD ,Normal,125000
20,RL,0,11500,IR1,CulDSac,1Fam,1Story,4,3,1957,Gable,Wd Sdng,0,TA,Gd,Slab,NA,NA,NA,NA,0,NA,0,0,0,Ex,N,845,0,0,845,0,0,1,0,3,1,TA,5,Typ,NA,Unf,1,290,TA,N,186,0,0,0,0,0,NA,WD ,Normal,84000
120,RL,42,4235,Reg,Inside,TwnhsE,1Story,5,5,1984,Gable,HdBoard,149,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552,ALQ,393,104,1049,TA,Y,1049,0,0,1049,1,0,2,0,2,1,Gd,5,Typ,NA,Fin,1,266,TA,Y,0,105,0,0,0,0,NA,WD ,Normal,139500
50,RL,60,11409,Reg,Inside,1Fam,1.5Fin,5,4,1949,Gable,Wd Sdng,0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,Gd,Y,1148,568,0,1716,0,0,1,1,3,1,TA,8,Min2,Gd,Unf,1,281,TA,Y,0,0,0,0,160,0,NA,WD ,Normal,131000
50,RL,60,9060,Reg,Inside,1Fam,1.5Fin,6,5,1939,Gable,WdShing,0,TA,TA,BrkTil,TA,TA,Mn,Rec,204,Unf,0,356,560,TA,Y,698,560,0,1258,0,0,1,0,2,1,TA,6,Typ,NA,Unf,1,280,TA,P,0,0,0,0,0,0,MnPrv,WD ,Normal,105000
70,RL,60,9084,Reg,Inside,1Fam,2Story,4,5,1940,Gable,MetalSd,0,TA,TA,CBlock,TA,TA,Mn,Unf,0,Unf,0,755,755,TA,Y,755,755,0,1510,1,0,1,0,4,1,TA,7,Typ,Gd,Unf,1,296,Fa,P,120,0,0,0,0,0,MnPrv,WD ,Normal,108000
80,RL,74,10778,IR1,Inside,1Fam,SLvl,7,6,1990,Gable,HdBoard,0,Gd,TA,PConc,Gd,TA,No,GLQ,460,ALQ,286,308,1054,Gd,Y,1061,0,0,1061,1,0,1,1,1,1,Gd,4,Typ,NA,Unf,2,462,TA,Y,114,36,0,0,0,0,NA,WD ,Normal,162000
80,RL,66,19255,IR1,Inside,1Fam,SLvl,6,5,1983,Gable,Wd Sdng,100,Gd,TA,CBlock,Gd,TA,Av,Rec,70,GLQ,450,0,520,Gd,Y,1338,0,0,1338,0,0,1,1,2,1,Gd,5,Min2,Po,Unf,2,576,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,156500
50,RL,79,12327,IR1,Inside,1Fam,1.5Fin,8,8,1983,Gable,Wd Sdng,0,Gd,TA,CBlock,Gd,TA,Gd,GLQ,1441,Unf,0,55,1496,Ex,Y,1496,636,0,2132,1,0,1,1,1,1,Gd,5,Min2,Gd,Fin,2,612,Gd,Y,349,40,0,0,0,0,NA,WD ,Normal,316600
20,RL,90,14684,IR1,CulDSac,1Fam,1Story,7,7,1990,Hip,HdBoard,234,Gd,TA,CBlock,Gd,TA,Mn,ALQ,485,BLQ,177,1496,2158,Gd,Y,2196,0,0,2196,0,0,2,0,3,1,Gd,7,Typ,TA,RFn,3,701,TA,Y,84,70,0,0,0,0,NA,WD ,Normal,271900
60,RL,75,9317,Reg,Inside,1Fam,2Story,7,5,1993,Gable,HdBoard,137,Gd,TA,PConc,Gd,TA,No,ALQ,513,Unf,0,227,740,Ex,Y,1006,769,0,1775,1,0,2,1,3,1,Gd,7,Typ,TA,Unf,2,425,TA,Y,234,72,192,0,0,0,NA,WD ,Normal,213000
60,RL,85,10560,Reg,Corner,1Fam,2Story,7,5,1993,Gable,VinylSd,0,Gd,Gd,PConc,Gd,Gd,No,GLQ,474,Unf,0,605,1079,Ex,Y,1079,800,0,1879,1,0,2,1,3,1,Gd,8,Typ,TA,RFn,2,473,TA,Y,400,100,144,0,0,0,MnPrv,WD ,Normal,239900
60,RL,80,9828,IR1,Inside,1Fam,2Story,8,5,1995,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,No,GLQ,584,Unf,0,544,1128,Ex,Y,1142,878,0,2020,0,0,2,1,3,1,Gd,8,Typ,TA,RFn,2,466,TA,Y,0,155,0,0,0,0,NA,WD ,Normal,239500
70,RL,120,26400,Reg,FR2,1Fam,2Story,5,7,1880,Gable,HdBoard,0,Gd,TA,PConc,NA,NA,NA,NA,0,NA,0,0,0,Ex,Y,1288,728,0,2016,0,0,1,0,4,1,TA,7,Mod,TA,Unf,2,576,TA,P,0,0,0,0,0,0,NA,WD ,Normal,131000
90,RL,64,7018,Reg,Inside,Duplex,1Story,5,5,1979,Gable,HdBoard,0,TA,Fa,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1535,0,0,1535,0,0,2,0,4,2,TA,8,Typ,NA,Unf,2,410,TA,Y,0,0,0,0,0,0,NA,WD ,Alloca,118964
90,RL,64,7018,Reg,Inside,Duplex,SFoyer,5,5,1979,Gable,Plywood,275,TA,TA,CBlock,Gd,TA,Av,GLQ,1086,Unf,0,0,1086,TA,Y,1224,0,0,1224,2,0,0,2,2,2,TA,6,Typ,TA,Unf,2,528,TA,Y,120,0,0,0,0,0,NA,WD ,Alloca,153337
90,RL,64,7018,Reg,Inside,Duplex,2Story,5,5,1979,Gable,HdBoard,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1114,1114,0,2228,0,0,2,0,6,2,TA,8,Typ,NA,Unf,2,720,TA,Y,73,0,0,0,0,0,NA,WD ,Alloca,147983
90,RL,64,7018,Reg,Inside,Duplex,1Story,5,5,1979,Gable,HdBoard,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1535,0,0,1535,0,0,2,0,4,2,TA,8,Typ,NA,Unf,2,400,TA,Y,0,0,0,0,0,0,GdPrv,WD ,Alloca,118858
90,RL,64,7018,Reg,Inside,Duplex,1Story,5,5,1979,Gable,Plywood,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1535,0,0,1535,0,0,2,0,4,2,TA,8,Typ,NA,Unf,2,400,TA,Y,0,0,0,0,0,0,NA,WD ,Alloca,118858
90,RL,64,7018,Reg,Inside,Duplex,2Story,5,5,1979,Gable,Plywood,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1120,1120,0,2240,0,0,2,0,6,2,TA,12,Typ,NA,Unf,2,528,TA,Y,154,0,0,0,0,0,NA,WD ,Alloca,142953
90,RL,64,7040,Reg,Inside,Duplex,SFoyer,5,5,1979,Gable,Plywood,216,TA,TA,CBlock,Gd,TA,Av,GLQ,1094,Unf,0,0,1094,TA,Y,1229,0,0,1229,2,0,0,2,2,2,Gd,6,Typ,TA,Unf,2,672,TA,Y,120,0,0,0,0,0,NA,WD ,Alloca,148325
90,RL,64,7007,Reg,Inside,Duplex,1Story,5,5,1979,Gable,HdBoard,0,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,0,TA,Y,1513,0,0,1513,0,0,2,0,4,2,TA,8,Typ,NA,Unf,2,400,TA,Y,0,0,0,0,0,0,NA,WD ,Alloca,113722
90,RL,0,11855,Reg,Inside,Duplex,2Story,7,5,2000,Hip,VinylSd,23,TA,TA,PConc,Ex,TA,No,GLQ,820,Unf,0,348,1168,Ex,Y,1168,1619,0,2787,2,0,4,2,6,2,TA,8,Typ,TA,Fin,4,820,TA,Y,312,0,0,0,0,0,NA,WD ,Normal,269500
90,RL,0,7939,Reg,Inside,Duplex,2Story,7,5,2000,Hip,VinylSd,23,TA,TA,PConc,Ex,TA,No,GLQ,820,Unf,0,348,1168,Ex,Y,1168,1619,0,2787,2,0,4,2,6,2,TA,8,Typ,TA,Fin,4,820,TA,Y,312,0,0,0,0,0,NA,WD ,Normal,269500
90,RL,0,7976,Reg,Inside,Duplex,2Story,7,5,2000,Hip,VinylSd,23,TA,TA,PConc,Ex,TA,No,GLQ,820,Unf,0,348,1168,Ex,Y,1168,1619,0,2787,2,0,4,2,6,2,TA,8,Typ,TA,Fin,4,820,TA,Y,312,0,0,0,0,0,NA,WD ,Normal,269500
20,RL,84,10933,Reg,Inside,1Fam,1Story,9,5,2009,Hip,VinylSd,242,Ex,TA,PConc,Ex,TA,Gd,GLQ,1021,Unf,0,534,1555,Ex,Y,1680,0,0,1680,1,0,1,1,1,1,Ex,8,Typ,Gd,Fin,3,1138,TA,Y,185,24,0,0,0,0,NA,New,Partial,323262
20,RL,79,10637,Reg,Inside,1Fam,1Story,8,5,2007,Hip,VinylSd,336,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288,Unf,0,417,1705,Ex,Y,1718,0,0,1718,1,0,2,0,3,1,Gd,7,Typ,Gd,RFn,3,826,TA,Y,208,44,0,0,0,0,NA,WD ,Normal,297000
20,RL,61,10226,IR1,Inside,1Fam,1Story,8,5,2008,Gable,VinylSd,270,Gd,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1622,1622,Ex,Y,1630,0,0,1630,1,0,2,0,3,1,Ex,8,Typ,Gd,RFn,3,860,TA,Y,172,42,0,0,0,0,NA,WD ,Normal,295493
20,RL,65,10816,IR1,Inside,1Fam,1Story,9,5,2008,Gable,VinylSd,364,Ex,TA,PConc,Ex,TA,Gd,GLQ,1104,Unf,0,616,1720,Ex,Y,1720,0,0,1720,1,0,2,0,3,1,Ex,8,Typ,Gd,RFn,3,846,TA,Y,208,104,0,0,0,0,NA,WD ,Normal,332000
20,RL,71,9178,Reg,Inside,1Fam,1Story,8,5,2008,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1468,1468,Ex,Y,1468,0,0,1468,0,0,2,0,3,1,Gd,6,Typ,Gd,RFn,3,904,TA,Y,192,142,0,0,0,0,NA,WD ,Normal,239900
60,RL,68,10769,IR1,Inside,1Fam,2Story,8,5,2007,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,20,Unf,0,846,866,Ex,Y,866,902,0,1768,0,0,2,1,3,1,Gd,7,Typ,NA,RFn,2,578,TA,Y,144,105,0,0,0,0,NA,WD ,Normal,212000
20,RL,77,11422,IR1,Inside,1Fam,1Story,8,5,2007,Hip,VinylSd,352,Gd,TA,PConc,Ex,TA,Av,GLQ,1359,Unf,0,479,1838,Ex,Y,1838,0,0,1838,1,0,2,0,3,1,Gd,7,Typ,Gd,RFn,2,524,TA,Y,154,222,0,0,0,0,NA,WD ,Normal,272500
20,RL,122,11923,IR1,Corner,1Fam,1Story,9,5,2007,Gable,VinylSd,0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1800,1800,Ex,Y,1800,0,0,1800,0,0,2,0,2,1,Ex,7,Typ,NA,Fin,2,702,TA,Y,288,136,0,0,0,0,NA,WD ,Normal,239000
20,RL,68,8814,Reg,Inside,1Fam,1Story,7,5,2006,Gable,VinylSd,180,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,0,270,1604,Ex,Y,1604,0,0,1604,1,0,2,1,3,1,Gd,8,Typ,Gd,RFn,2,660,TA,Y,123,110,0,0,0,0,NA,WD ,Abnorml,220000
20,RL,64,6762,Reg,Inside,1Fam,1Story,7,5,2007,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,902,Unf,0,380,1282,Ex,Y,1290,0,0,1290,1,0,2,0,2,1,Gd,6,Typ,Gd,RFn,2,662,TA,Y,168,0,0,0,0,0,NA,WD ,Normal,200000
20,RL,95,10324,IR1,Corner,1Fam,1Story,8,5,2008,Gable,VinylSd,140,Gd,TA,PConc,Gd,TA,Av,GLQ,872,Unf,0,382,1254,Ex,Y,1254,0,0,1254,1,0,2,0,2,1,Gd,5,Typ,NA,RFn,3,810,TA,Y,168,92,0,0,0,0,NA,WD ,Normal,221800
20,RL,64,7314,Reg,Inside,1Fam,1Story,7,5,2007,Gable,VinylSd,82,Gd,TA,PConc,Gd,TA,Av,GLQ,724,Unf,0,508,1232,Ex,Y,1232,0,0,1232,1,0,2,0,2,1,Gd,6,Typ,NA,RFn,2,632,TA,Y,132,0,0,0,0,0,NA,WD ,Normal,194500
20,RL,78,11645,Reg,Inside,1Fam,1Story,8,5,2005,Gable,VinylSd,76,Gd,TA,PConc,Ex,TA,Gd,GLQ,24,Unf,0,1474,1498,Ex,Y,1498,0,0,1498,0,0,2,0,3,1,Gd,7,Typ,Gd,Fin,3,844,TA,Y,144,98,0,0,0,0,NA,WD ,Normal,237000
60,RL,79,11646,IR1,Inside,1Fam,2Story,6,5,2005,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,704,704,Ex,Y,704,718,0,1422,0,0,2,1,3,1,Gd,7,Typ,Gd,Fin,2,440,TA,Y,36,28,0,0,0,0,NA,WD ,Normal,173000
80,RL,0,12800,Reg,Inside,1Fam,SLvl,7,5,1989,Gable,Wd Sdng,145,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518,Unf,0,0,1518,Gd,Y,1644,0,0,1644,1,1,2,0,2,1,Gd,5,Typ,TA,Fin,2,569,TA,Y,80,0,0,0,396,0,NA,WD ,Normal,275000
60,RL,0,16698,IR1,CulDSac,1Fam,2Story,7,5,1992,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,800,Unf,0,649,1449,Gd,Y,944,815,0,1759,1,0,2,1,3,1,Gd,7,Typ,TA,Unf,2,525,TA,Y,150,193,0,0,0,0,NA,WD ,Normal,233500
60,RL,0,28698,IR2,CulDSac,1Fam,2Story,5,5,1967,Flat,Plywood,0,TA,TA,PConc,TA,Gd,Gd,LwQ,249,ALQ,764,0,1013,TA,Y,1160,966,0,2126,0,1,2,1,3,1,TA,7,Min2,NA,Fin,2,538,TA,Y,486,0,0,0,225,0,NA,WD ,Abnorml,185000
20,RL,82,12464,IR2,Corner,1Fam,1Story,5,5,1996,Gable,VinylSd,0,TA,Gd,PConc,Gd,TA,No,GLQ,732,Unf,0,308,1040,Gd,Y,1040,0,0,1040,1,0,1,0,3,1,Gd,6,Typ,NA,Unf,2,576,TA,Y,168,0,0,0,0,0,GdPrv,WD ,Normal,152000
20,RL,65,9757,Reg,Inside,1Fam,1Story,5,7,1994,Gable,VinylSd,0,TA,Gd,PConc,TA,TA,No,ALQ,755,Unf,0,235,990,Ex,Y,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,NA,RFn,1,440,TA,Y,66,0,0,0,92,0,NA,WD ,Normal,143000
60,RL,65,15426,IR1,Inside,1Fam,2Story,6,5,1997,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,No,GLQ,821,Unf,0,107,928,Ex,Y,928,836,0,1764,1,0,2,1,3,1,Gd,7,Typ,NA,RFn,2,470,TA,Y,276,99,0,0,0,0,MnPrv,WD ,Normal,231500
60,RL,43,10667,IR2,CulDSac,1Fam,2Story,7,6,1996,Gable,VinylSd,0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,344,70,799,Ex,Y,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,TA,RFn,2,550,TA,Y,158,61,0,0,0,0,NA,ConLw,Normal,212000
20,RL,65,14753,IR2,Inside,1Fam,1Story,7,5,1998,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,Mn,GLQ,950,Unf,0,513,1463,Ex,Y,1463,0,0,1463,1,0,2,0,3,1,TA,5,Typ,NA,Fin,2,539,TA,Y,0,81,0,0,0,0,GdPrv,WD ,Normal,207000
